# Universe-expansion tier — FROZEN 2026-05-27 (Stage-1 pre-reg §8.2)
# rule: close ≤ ¥3,333 AND median-60b turnover ≥ ¥100,000,000/d AND market∈{Prime,Standard,Growth} AND sector33
# span: 2018-04-02 .. 2026-05-22 (1985 as-of days); bridge set = ever-qualifies (≥1 day)
# tier size: 2785 codes (209 already in the 225 cohort); median 922 qualify/day (probe reported ~1008 affordable∩liquid)
# columns: code  yf_code  in225  qual_days  frac_days  last_close  med_turnover  sector33
13320	1332.T	1	1984	0.999	1298	1825706368	水産・農林業
17190	1719.T	0	1984	0.999	1739	1387423232	建設業
17200	1720.T	0	1984	0.999	1157	567625472	建設業
18600	1860.T	0	1984	0.999	1448	1226566272	建設業
18930	1893.T	0	1984	0.999	1695	3822374400	建設業
19630	1963.T	1	1984	0.999	2732	6357063168	建設業
20010	2001.T	0	1984	0.999	2709	568308288	食料品
20020	2002.T	1	1984	0.999	1986	1835247488	食料品
21240	2124.T	0	1984	0.999	860	312369792	サービス業
23370	2337.T	0	1984	0.999	483	468359712	不動産業
24330	2433.T	0	1984	0.999	1174	911974464	サービス業
24920	2492.T	0	1984	0.999	376	883358976	サービス業
25030	2503.T	1	1984	0.999	2720	9072711680	食料品
25310	2531.T	0	1984	0.999	2008	919111296	食料品
27300	2730.T	0	1984	0.999	2370	947338368	小売業
29310	2931.T	0	1984	0.999	362	429203392	食料品
30030	3003.T	0	1984	0.999	1650	3624631296	不動産業
30480	3048.T	0	1984	0.999	1760	834266560	小売業
30500	3050.T	0	1984	0.999	1530	486195712	小売業
30760	3076.T	0	1984	0.999	2837	290647616	卸売業
30860	3086.T	1	1984	0.999	2220	2993759232	小売業
30870	3087.T	0	1984	0.999	2830	372197312	小売業
31010	3101.T	0	1984	0.999	1588	900453376	化学
31050	3105.T	0	1984	0.999	2390	1628233984	電気機器
31160	3116.T	0	1984	0.999	2246	1785589248	輸送用機器
31670	3167.T	0	1984	0.999	1133	331558208	卸売業
32890	3289.T	1	1984	0.999	1264	3364876544	不動産業
32910	3291.T	0	1984	0.999	2090	1345156608	不動産業
33870	3387.T	0	1984	0.999	711	709142400	小売業
34010	3401.T	1	1984	0.999	1572	1686842240	繊維製品
34020	3402.T	1	1984	0.999	1086	5911900672	繊維製品
34050	3405.T	1	1984	0.999	1582	2709010176	化学
34070	3407.T	1	1984	0.999	1726	8739585024	化学
35430	3543.T	0	1984	0.999	2898	670257408	卸売業
36320	3632.T	0	1984	0.999	419	185548096	情報･通信業
36600	3660.T	0	1984	0.999	389	499021184	情報･通信業
38610	3861.T	1	1984	0.999	777	3680752896	パルプ・紙
38630	3863.T	0	1984	0.999	1364	1346858240	パルプ・紙
38650	3865.T	0	1984	0.999	897	305313792	パルプ・紙
38800	3880.T	0	1984	0.999	958	366856992	パルプ・紙
39410	3941.T	0	1984	0.999	1396	1307581568	パルプ・紙
40050	4005.T	1	1984	0.999	586	7696139776	化学
40420	4042.T	1	1984	0.999	2601	2786483456	化学
40450	4045.T	0	1984	0.999	1714	563254656	化学
40880	4088.T	0	1984	0.999	2579	2403640320	化学
41880	4188.T	1	1984	0.999	1028	6893820928	化学
42020	4202.T	0	1984	0.999	1265	1594211712	化学
42040	4204.T	0	1984	0.999	2317	5924953600	化学
42050	4205.T	0	1984	0.999	2105	1726354432	化学
42720	4272.T	0	1984	0.999	2090	752964608	化学
42900	4290.T	0	1984	0.999	632	165558704	サービス業
43440	4344.T	0	1984	0.999	132	108919104	情報･通信業
45030	4503.T	1	1984	0.999	2270	13995742208	医薬品
45360	4536.T	0	1984	0.999	1905	1626452480	医薬品
46130	4613.T	0	1984	0.999	2337	2763848704	化学
46800	4680.T	0	1984	0.999	859	2048098688	サービス業
46810	4681.T	0	1984	0.999	1745	1030276160	サービス業
46890	4689.T	1	1984	0.999	409	7671370240	情報･通信業
47320	4732.T	0	1984	0.999	1762	2083853568	サービス業
47550	4755.T	1	1984	0.999	782	10166650880	サービス業
49020	4902.T	1	1984	0.999	584	1796759680	電気機器
49120	4912.T	0	1984	0.999	1601	2017612032	化学
50200	5020.T	1	1984	0.999	1300	11833774080	石油･石炭製品
51100	5110.T	0	1984	0.999	1917	3853521920	ゴム製品
52020	5202.T	0	1984	0.999	478	1081909632	ガラス･土石製品
53010	5301.T	1	1984	0.999	1627	1532012672	ガラス･土石製品
54060	5406.T	1	1984	0.999	1946	4125762304	鉄鋼
54110	5411.T	1	1984	0.999	1635	7777116160	鉄鋼
54230	5423.T	0	1984	0.999	1725	741171712	鉄鋼
57030	5703.T	0	1984	0.999	3050	776189696	非鉄金属
59110	5911.T	0	1984	0.999	2792	314454016	金属製品
60130	6013.T	0	1984	0.999	3230	653291328	機械
60550	6055.T	0	1984	0.999	1993	1412297344	サービス業
60580	6058.T	0	1984	0.999	1292	360840192	サービス業
60880	6088.T	0	1984	0.999	584	366382496	サービス業
61130	6113.T	1	1984	0.999	2732	3965785344	機械
61780	6178.T	1	1984	0.999	2116	9329678336	サービス業
61830	6183.T	0	1984	0.999	1487	346232992	サービス業
63260	6326.T	1	1984	0.999	2700	11206562816	機械
63660	6366.T	0	1984	0.999	747	7464404480	建設業
63760	6376.T	0	1984	0.999	3205	802497408	精密機器
63950	6395.T	0	1984	0.999	1311	551193280	機械
64120	6412.T	0	1984	0.999	1992	616254080	機械
64710	6471.T	1	1984	0.999	1191	3014114560	機械
64720	6472.T	1	1984	0.999	402	1121998208	機械
64730	6473.T	1	1984	0.999	1931	2031790976	機械
66190	6619.T	0	1984	0.999	341	489976896	電気機器
66320	6632.T	0	1984	0.999	1093	1032395584	電気機器
67240	6724.T	1	1984	0.999	2530	3222265088	電気機器
67270	6727.T	0	1984	0.999	860	326922112	電気機器
67400	6740.T	0	1984	0.999	67	5410649088	電気機器
67680	6768.T	0	1984	0.999	951	615617600	電気機器
68040	6804.T	0	1984	0.999	2585	626010880	電気機器
68070	6807.T	0	1984	0.999	2569	392513312	電気機器
68100	6810.T	0	1984	0.999	1884	406051008	電気機器
69520	6952.T	0	1984	0.999	1624	3086249728	電気機器
69990	6999.T	0	1984	0.999	2276	899457600	電気機器
70040	7004.T	1	1984	0.999	1342	1212164864	機械
71480	7148.T	0	1984	0.999	1510	1161932544	証券･商品先物取引業
71670	7167.T	0	1984	0.999	1396	2880012544	銀行業
71800	7180.T	0	1984	0.999	1454	1623044352	銀行業
71820	7182.T	0	1984	0.999	3104	20556109824	銀行業
71860	7186.T	1	1984	0.999	1668	5572743680	銀行業
72010	7201.T	1	1984	0.999	362	10130611200	輸送用機器
72020	7202.T	1	1984	0.999	2220	5568989696	輸送用機器
72110	7211.T	1	1984	0.999	373	4418016256	輸送用機器
72240	7224.T	0	1984	0.999	2100	622842688	輸送用機器
72400	7240.T	0	1984	0.999	2839	989149760	輸送用機器
