sign,stock,fire_date,score,corr_mode,q,r_k3,mfe_03,mae_03,baseline_r,cut_θ-1,cut_θ-2,cut_θ-3,policy_r_θ-1,policy_r_θ-2,policy_r_θ-3
div_gap,9020.T,2022-09-16,0.196995,mid,Q3,-0.018675,-0.000778,-0.038387,0.075229,1,0,0,-0.029309,0.075229,0.075229
div_gap,9020.T,2022-09-26,0.217271,mid,Q3,-0.001829,0.017406,-0.024449,0.046190,0,0,0,0.046190,0.046190,0.046190
div_gap,9020.T,2022-10-11,0.526928,mid,Q4,0.015635,0.023770,-0.007373,-0.009661,0,0,0,-0.009661,-0.009661,-0.009661
div_gap,9020.T,2022-10-17,0.163374,mid,Q2,-0.018562,0.010817,-0.020651,-0.044008,1,0,0,-0.013891,-0.044008,-0.044008
div_gap,9020.T,2022-10-28,0.171453,low,Q2,-0.012251,-0.002250,-0.027754,-0.055632,1,0,0,-0.012501,-0.055632,-0.055632
div_gap,9020.T,2022-11-04,0.139738,low,Q2,-0.010888,0.015192,-0.019370,-0.068869,1,0,0,-0.001519,-0.068869,-0.068869
rev_nlo,9020.T,2022-06-27,0.352580,mid,Q2,0.002061,0.035483,-0.002945,0.043286,0,0,0,0.043286,0.043286,0.043286
div_gap,9020.T,2024-02-01,0.383270,low,Q4,0.023309,0.060261,0.008869,-0.001778,0,0,0,-0.001778,-0.001778,-0.001778
rev_nlo,9020.T,2023-10-12,0.540451,mid,Q4,-0.020702,-0.011613,-0.043676,0.030422,1,1,0,-0.028023,-0.028023,0.030422
div_gap,9020.T,2024-04-03,0.195342,low,Q3,-0.000171,-0.000171,-0.019191,-0.058773,0,0,0,-0.058773,-0.058773,-0.058773
div_gap,9020.T,2024-05-01,0.315444,mid,Q4,-0.050828,0.007947,-0.051821,-0.096622,1,1,1,-0.045530,-0.045530,-0.045530
div_gap,9020.T,2024-05-02,0.150201,mid,Q2,-0.053237,-0.018239,-0.058988,-0.095892,1,1,1,-0.058495,-0.058495,-0.058495
div_gap,9020.T,2024-07-31,0.153341,mid,Q2,-0.078531,-0.053233,-0.173226,-0.084402,0,0,0,-0.084402,-0.084402,-0.084402
div_gap,9020.T,2024-08-01,0.152211,mid,Q2,-0.036685,-0.002048,-0.123650,-0.089463,0,0,0,-0.089463,-0.089463,-0.089463
div_gap,9020.T,2024-08-19,0.184425,high,Q3,0.028403,0.028403,-0.000922,0.111426,0,0,0,0.111426,0.111426,0.111426
div_gap,9020.T,2024-11-28,0.080399,mid,Q1,0.002907,0.040534,-0.012485,-0.088481,0,0,0,-0.088481,-0.088481,-0.088481
div_gap,9020.T,2025-03-04,0.116531,mid,Q1,-0.018494,-0.007856,-0.027005,0.063633,1,0,0,-0.029133,0.063633,0.063633
rev_nlo,9020.T,2024-10-09,0.309246,mid,Q1,0.018493,0.035959,-0.003253,-0.031507,0,0,0,-0.031507,-0.031507,-0.031507
div_gap,9020.T,2025-04-04,0.620783,low,Q4,0.090302,0.090654,0.009838,0.085755,0,0,0,0.085755,0.085755,0.085755
div_gap,9020.T,2025-07-02,0.444097,low,Q4,-0.003472,0.006629,-0.009154,0.051078,0,0,0,0.051078,0.051078,0.051078
div_gap,9020.T,2025-09-03,0.165650,low,Q2,0.008338,0.026089,0.000269,0.023056,0,0,0,0.023056,0.023056,0.023056
div_gap,9020.T,2025-11-07,0.284708,low,Q3,-0.016296,-0.005432,-0.034402,0.080593,1,0,0,-0.010347,0.080593,0.080593
div_gap,9020.T,2025-11-14,0.151570,low,Q2,0.009252,0.034364,-0.006609,0.076040,0,0,0,0.076040,0.076040,0.076040
div_gap,9020.T,2025-11-18,0.507672,low,Q4,0.048493,0.048493,-0.003932,0.075402,0,0,0,0.075402,0.075402,0.075402
div_gap,9020.T,2025-11-21,0.323629,low,Q4,0.028208,0.040661,-0.002287,0.008386,0,0,0,0.008386,0.008386,0.008386
div_gap,9020.T,2025-12-15,0.202205,low,Q3,-0.009386,-0.002647,-0.031528,-0.078096,0,0,0,-0.078096,-0.078096,-0.078096
div_gap,9020.T,2025-12-18,0.294820,low,Q3,0.013500,0.017673,-0.019637,-0.079649,0,0,0,-0.079649,-0.079649,-0.079649
div_gap,9020.T,2026-02-06,0.322363,low,Q4,-0.047500,-0.027000,-0.063250,-0.095948,1,1,1,-0.054000,-0.054000,-0.054000
rev_nlo,9020.T,2025-11-27,0.312490,low,Q1,-0.026205,0.004697,-0.032138,-0.050762,1,1,0,-0.029913,-0.029913,-0.050762
div_gap,9021.T,2022-09-26,0.254740,mid,Q3,-0.002595,0.012168,-0.025156,0.027471,0,0,0,0.027471,0.027471,0.027471
div_gap,9021.T,2022-10-17,0.213888,mid,Q3,-0.016958,0.015614,-0.017294,-0.082654,1,0,0,-0.013768,-0.082654,-0.082654
div_gap,9021.T,2022-12-15,0.161514,low,Q2,-0.045478,-0.001373,-0.053715,-0.092657,1,1,1,-0.044277,-0.044277,-0.044277
rev_nlo,9021.T,2022-06-27,0.377240,mid,Q2,-0.015060,0.016466,-0.020080,0.052209,1,0,0,0.002008,0.052209,0.052209
div_gap,9021.T,2023-08-10,0.133534,mid,Q2,-0.006814,0.001622,-0.017359,0.064127,0,0,0,0.064127,0.064127,0.064127
div_gap,9021.T,2024-02-01,0.383270,low,Q4,0.006748,0.015694,-0.016949,-0.028527,0,0,0,-0.028527,-0.028527,-0.028527
div_gap,9021.T,2024-02-29,0.098325,low,Q1,-0.008828,0.000963,-0.015088,-0.026224,0,0,0,-0.026224,-0.026224,-0.026224
rev_nlo,9021.T,2023-10-12,0.559987,mid,Q4,-0.008627,-0.007746,-0.039084,0.042958,0,0,0,0.042958,0.042958,0.042958
div_gap,9021.T,2024-04-18,0.110511,mid,Q1,-0.000663,0.014579,-0.007787,0.082782,0,0,0,0.082782,0.082782,0.082782
div_gap,9021.T,2024-05-01,0.388330,low,Q4,-0.036720,-0.015606,-0.043146,-0.080623,1,1,1,-0.027234,-0.027234,-0.027234
div_gap,9021.T,2024-05-02,0.097689,low,Q1,-0.021630,0.003448,-0.022571,-0.082595,1,1,0,-0.025392,-0.025392,-0.082595
div_gap,9021.T,2025-03-07,0.566661,low,Q4,-0.004905,0.000654,-0.019621,0.045657,0,0,0,0.045657,0.045657,0.045657
rev_nlo,9021.T,2024-04-26,0.324356,mid,Q1,0.059039,0.092061,0.033356,0.087884,0,0,0,0.087884,0.087884,0.087884
rev_nlo,9021.T,2024-08-13,0.612128,high,Q3,0.007310,0.018182,0.000187,0.051239,0,0,0,0.051239,0.051239,0.051239
div_gap,9021.T,2025-07-02,0.175001,mid,Q2,-0.006693,-0.001521,-0.018254,0.062797,0,0,0,0.062797,0.062797,0.062797
div_gap,9021.T,2025-09-29,0.068362,mid,Q1,-0.023948,-0.004298,-0.047590,-0.078272,1,1,0,-0.007062,-0.007062,-0.078272
div_gap,9021.T,2025-11-07,0.104476,low,Q1,-0.029213,-0.017656,-0.038363,0.000963,1,1,0,-0.014125,-0.014125,0.000963
div_gap,9021.T,2025-11-14,0.389521,low,Q4,0.004572,0.007511,-0.009144,0.026780,0,0,0,0.026780,0.026780,0.026780
div_gap,9021.T,2025-11-18,0.150297,low,Q2,0.036054,0.036054,-0.005244,0.035726,0,0,0,0.035726,0.035726,0.035726
div_gap,9021.T,2025-12-15,0.225788,low,Q3,0.002265,0.004207,-0.020712,0.095066,0,0,0,0.095066,0.095066,0.095066
div_gap,9021.T,2025-12-18,0.233210,low,Q3,0.007775,0.007775,-0.012634,0.071064,0,0,0,0.071064,0.071064,0.071064
div_gap,9021.T,2026-01-15,0.115347,low,Q1,0.008618,0.017555,-0.004788,0.055337,0,0,0,0.055337,0.055337,0.055337
div_gap,9021.T,2026-02-04,0.195004,low,Q3,0.004963,0.030073,0.003504,-0.050447,0,0,0,-0.050447,-0.050447,-0.050447
div_gap,9021.T,2026-02-06,0.097025,low,Q1,-0.041548,-0.005692,-0.042402,-0.049169,1,1,1,-0.037564,-0.037564,-0.037564
rev_nlo,9021.T,2025-11-27,0.275229,mid,Q1,-0.006441,0.006119,-0.013527,0.007729,0,0,0,0.007729,0.007729,0.007729
div_gap,9022.T,2022-09-26,0.234482,high,Q3,0.008343,0.024121,-0.015718,-0.008925,0,0,0,-0.008925,-0.008925,-0.008925
div_gap,9022.T,2022-10-11,0.224692,mid,Q3,0.017748,0.024731,-0.007565,-0.051498,0,0,0,-0.051498,-0.051498,-0.051498
div_gap,9022.T,2022-10-17,0.147378,low,Q2,-0.017041,0.007384,-0.019597,-0.092949,1,0,0,-0.017041,-0.092949,-0.092949
div_gap,9022.T,2022-12-15,0.084771,low,Q1,-0.037650,-0.000301,-0.056928,-0.078012,1,1,1,-0.037651,-0.037651,-0.037651
rev_nlo,9022.T,2022-06-27,0.452442,mid,Q3,-0.009647,0.018649,-0.015113,0.030868,0,0,0,0.030868,0.030868,0.030868
div_gap,9022.T,2023-08-10,0.106379,high,Q1,-0.004372,0.007924,-0.010656,-0.071972,0,0,0,-0.071972,-0.071972,-0.071972
rev_nlo,9022.T,2023-07-20,0.344372,mid,Q2,0.024432,0.025295,0.010635,0.055107,0,0,0,0.055107,0.055107,0.055107
rev_nlo,9022.T,2023-10-12,0.644470,high,Q4,-0.000596,0.000298,-0.036353,0.078665,0,0,0,0.078665,0.078665,0.078665
div_gap,9022.T,2024-04-03,0.405281,low,Q4,-0.017403,-0.008568,-0.026238,-0.085350,1,0,0,-0.021419,-0.085350,-0.085350
